index,Hotel_Name,city,lat,lng,avg_rating,review_count,dataset_total_reviews,noise_sentiment,location_sentiment,cleanliness_sentiment,staff_sentiment,value_sentiment,quiet_positive_rate,quiet_negative_rate,crowded_positive_rate,crowded_negative_rate,quiet_net,crowded_net,city_center_lat,city_center_lng,distance_from_center_km,distance_percentile_within_city,distance_from_center_pct,distance_sweet_spot,centrality_score,log_review_count,hidden_score_base,city_hidden_percentile
20,AZIMUT Hotel Vienna,Vienna,48.1834787,16.3762765,0.6321321321321323,0.033622559652928416,0.061165574066277734,0.23581625832151043,0.43158809869810055,0.21953891700688286,0.2428205602072782,0.9856511513016584,0.0,0.0,0.09375,0.1875,0.21739130434782608,0.453125,48.2084,16.3725,2.785223812686433,0.7278911564625851,72.8,0.5442176870748299,0.27210884353741494,0.05936790218445091,0.41195571694466826,0.7142857142857143
21,Abba Garden,Barcelona,41.3854716,2.1018835,0.5716966966966968,0.024945770065075923,0.05509111685812233,0.21358543417366946,0.20779020365417003,0.2828862987325359,0.27317911897024527,0.5777254892771689,0.1388888888888889,0.0,0.0,0.125,0.32608695652173914,0.4375,41.3825,2.1769,6.267275048126722,0.9903846153846154,99.0,0.019230769230769162,0.009615384615384581,0.05362712988880531,0.34589757788048675,0.28365384615384615
22,Abba Sants,Barcelona,41.3825777,2.1400103,0.5843570843570847,0.022776572668112796,0.05539183256149636,0.21543162719633308,0.42739692755533243,0.26705427093377243,0.1662689326897649,0.47239297346694886,0.07575757575757576,0.0,0.0,0.0,0.2766798418972332,0.5,41.3825,2.1769,3.0777548741079506,0.7740384615384616,77.4,0.45192307692307687,0.22596153846153844,0.053912103245725165,0.34913215351023114,0.3173076923076923
23,Acad mie H tel Saint Germain,Paris,48.855263,2.3305901,0.7919347919347919,0.052060737527114966,0.0488362302279425,0.19743548818221357,0.37416827622886906,0.236099416210222,0.3764132049229735,0.5400596792935359,0.06802721088435373,0.08163265306122448,0.061224489795918366,0.061224489795918366,0.2440106477373558,0.5,48.8535,2.3484,1.3176983102698514,0.13876651982378854,13.9,0.27753303964757703,0.8612334801762115,0.04768119732908083,0.4351783907646287,0.7577092511013216
24,Acca Palace,Milan,45.5099969,9.1739942,0.6992706992706992,0.052060737527114966,0.11084380826366752,0.23590883477695346,0.31626109172493355,0.2431973077863425,0.3134548334158067,0.3925423146318412,0.06802721088435373,0.0,0.0,0.061224489795918366,0.2706299911268855,0.46938775510204084,45.4668,9.1905,4.972627469267839,0.9074074074074074,90.7,0.18518518518518512,0.09259259259259256,0.10511991415290621,0.37943303487746377,0.7345679012345679
25,Ace Hotel London Shoreditch,London,51.5254162,-0.0772849,0.6990534838636107,0.08459869848156183,0.09322186804594935,0.2813935461650474,0.3048660235922682,0.16719166612652542,0.2676466902959388,0.4038879179305137,0.16877637130801687,0.05063291139240506,0.0379746835443038,0.26582278481012656,0.3329664281783159,0.3860759493670886,51.5073,-0.1277,4.028347882836597,0.7125,71.2,0.575,0.2875,0.08912917857271932,0.3562089492220935,0.3875
26,Acevi Villarroel,Barcelona,41.3853781,2.1567228,0.46442094268181267,0.07375271149674621,0.13279605460997174,0.2589633789396303,0.277977588060332,0.22075308596861434,0.28477257765321456,0.40548379255208244,0.0966183574879227,0.057971014492753624,0.08695652173913043,0.2173913043478261,0.2741020793950851,0.43478260869565216,41.3825,2.1769,1.713517687647435,0.46153846153846156,46.2,0.9230769230769231,0.5384615384615384,0.12468896108576202,0.2922935950313432,0.04807692307692308
27,Acta Atrium Palace,Barcelona,41.390913,2.1706981,0.7111111111111115,0.11279826464208244,0.11367053587538341,0.2642786156435094,0.40958191900739394,0.22118312965148135,0.39511615907452813,0.4263750600284816,0.047619047619047616,0.0380952380952381,0.05714285714285715,0.3142857142857143,0.24223602484472048,0.37142857142857144,41.3825,2.1769,1.0690314342471698,0.27884615384615385,27.9,0.5576923076923077,0.7211538461538461,0.10766134899743648,0.3947044329460158,0.5673076923076923
28,Acta CITY47,Barcelona,41.383515,2.1407396,0.63950517681861,0.07158351409978309,0.14392253563481083,0.21885682359782446,0.360172953506918,0.22440888999357111,0.3227263430332752,0.4065492564730202,0.09950248756218906,0.0,0.0,0.22388059701492535,0.29526281635301754,0.3880597014925373,41.3825,2.1769,3.018985204135625,0.7644230769230769,76.4,0.47115384615384626,0.23557692307692313,0.13446317705900185,0.35456255265368986,0.35096153846153844
29,Admiral Hotel,Milan,45.480515,9.160063,0.5211878545211881,0.008676789587852495,0.017261081373669333,0.14947962656136835,0.25121747845676673,0.09152417784943812,0.38170228669343376,0.3560443337056448,0.0,0.0,0.0,0.3333333333333333,0.21739130434782608,0.33333333333333337,45.4668,9.1905,2.821040738470037,0.7222222222222222,72.2,0.5555555555555556,0.2777777777777778,0.017113801301788124,0.2854921131784091,0.1419753086419753
